doc_id,category,router_tag,field,title,content,source
11,종합소득세,세금,공통(세무·등록·지원),신고·납부 기한,1년간 개인에게 귀속된 모든 과세대상 소득(이자·배당·사업·근로·연금·기타)을 합산하여 다음 해 5월 1일부터 5월 31일까지 신고·납부합니다. 성실신고확인서 제출 대상자는 6월 30일까지입니다.,국세청 SNS마켓 사업자 신종업종 세무안내
12,종합소득세,세금,공통(세무·등록·지원),장부 기장 의무,"간편장부대상자는 신규 창업자이거나 직전연도 수입금액이 기준 미만(SNS마켓 소매업은 3억원 미만)인 사업자입니다. 복식부기의무자는 그 외 모든 사업자(SNS마켓 소매업은 3억원 이상)입니다. 추계신고 시 경비율은 SNS마켓 소매업 기준 수입 6천만원 미만은 단순경비율, 6천만원 이상은 기준경비율을 적용합니다.",국세청 SNS마켓 사업자 신종업종 세무안내
13,종합소득세,세금,공통(세무·등록·지원),소득금액·산출세액 계산,"장부를 기록한 경우 소득금액은 총수입금액에서 필요경비를 뺀 값입니다. 추계 단순경비율은 수입금액에서 (수입금액 곱하기 단순경비율)을 뺀 값입니다. 추계 기준경비율은 수입금액에서 주요경비와 (수입금액 곱하기 기준경비율)을 뺀 값입니다. 산출세액은 과세표준에 세율을 곱한 뒤 누진공제를 뺀 값입니다. 세율표·경비율·배율은 매년 변경됩니다. 예시로 2023년 귀속 SNS마켓 단순경비율 86.0% 기준, 수입 2,400만원이면 소득금액 336만원, 인적공제 후 과세표준 186만원, 산출세액 약 11만원, 표준세액공제 후 약 4만원입니다.",국세청 SNS마켓 사업자 신종업종 세무안내
14,현금영수증,세금,공통(세무·등록·지원),의무발행,현금영수증 의무발행업종 사업자는 건당 거래금액(부가세 포함)이 10만원 이상인 현금거래에 대해 소비자 요청이 없어도 발급해야 합니다. SNS마켓 사업자는 의무발행업종 재화에 한해 2021년 1월 1일부터 적용됩니다. 미발급 시 미발급 금액의 20%가 가산세로 부과됩니다.,국세청 SNS마켓 사업자 신종업종 세무안내
15,현금영수증,세금,공통(세무·등록·지원),일반 발급 의무,"소비자상대업종 사업자 중 법인사업자와 직전연도 수입금액 합계 2,400만원 이상 개인사업자는 소비자가 요청하면 현금영수증을 발급해야 합니다. 발급거부 시 1차 5% 가산세, 2차 20% 과태료가 부과됩니다.",국세청 SNS마켓 사업자 신종업종 세무안내
16,현금영수증,세금,공통(세무·등록·지원),발급 혜택,개인사업자는 부가가치세 신고 시 현금영수증 발행금액의 1.3%를 세액공제(연 1천만원 한도)받습니다. 직전연도 공급가액 10억원 초과 개인사업자는 제외됩니다.,국세청 SNS마켓 사업자 신종업종 세무안내
17,통신판매업 신고 (인허가),인허가,공통(세무·등록·지원),신고 의무,"전자상거래법 제12조에 따라 SNS마켓·온라인 판매자는 통신판매업자에 해당하므로 재화 판매 전에 관할 시·군·구청에 통신판매업 신고를 해야 합니다. 정부24(gov.kr)에서 공동인증서 등을 이용해 신고할 수 있습니다. 신고사항은 상호, 주소, 전화번호, 대표자 성명·주민등록번호, 사업자등록번호, 법인등록번호, 이메일, 도메인, 호스트서버 소재지, 판매방식, 취급품목 등입니다. 구비서류는 사업자등록증 사본, 법인등기부 등본 등입니다.",국세청 SNS마켓 사업자 신종업종 세무안내
18,통신판매업 신고 (인허가),인허가,공통(세무·등록·지원),신고번호 표시,전자상거래법 제13조에 따라 재화 판매 시 표시·광고에 상호·대표자 성명·주소·전화번호와 통신판매 신고번호(신고기관명 포함)를 표시해야 합니다.,국세청 SNS마켓 사업자 신종업종 세무안내
19,통신판매업 신고 (인허가),인허가,공통(세무·등록·지원),신고 면제,통신판매 거래횟수·규모가 공정거래위원회 고시 기준 이하면 신고가 면제됩니다. 일반적으로 직전연도 거래 50회 미만이거나 간이과세자인 경우 등입니다. 본인 해당 여부와 등록면허세 부과 시점은 정부24·관할 구청에서 확인해야 합니다. 이 항목은 원천 자료에 세부 기준이 없어 별도 확인이 필요합니다.,국세청 SNS마켓 사업자 신종업종 세무안내
20,창업기업 세액감면,세액감면,공통(세무·등록·지원),감면 개요,"조세특례제한법 제6조에 따라 창업 후 최초로 소득이 발생한 과세연도(5년 내 소득이 없으면 5년이 되는 날이 속하는 과세연도)와 그 후 4년간, 합쳐서 5년간 소득세 또는 법인세의 50~100%를 매년 감면합니다. 수도권과밀억제권역으로 이전하거나 그 권역에 지점을 설치하면 적용받을 수 없습니다. 창업 시점(2025년 이전 또는 2026년 이후)에 따라 감면율이 다르며 일몰·요건은 변경될 수 있습니다.",국세청 창업중소기업 세액감면 + 법제처 찾기쉬운 생활법령정보
21,창업기업 세액감면,세액감면,공통(세무·등록·지원),청년 요건,"청년창업중소기업은 창업 당시 대표자가 만 15세 이상 34세 이하(병역 기간 최대 6년 차감)여야 하며, 법인은 최대주주 등이 이 요건을 충족해야 합니다. 나이 상한은 2018년 개정으로 29세에서 34세로 확대되었습니다.",국세청 창업중소기업 세액감면 + 법제처 찾기쉬운 생활법령정보
22,창업기업 세액감면,세액감면,공통(세무·등록·지원),감면율 (2025년 12월 31일 이전 창업),수도권과밀억제권역 외 청년창업중소기업은 100% 감면입니다. 수도권과밀억제권역 청년창업 또는 권역 외 일반 창업중소기업은 50% 감면입니다.,국세청 창업중소기업 세액감면 + 법제처 찾기쉬운 생활법령정보
23,창업기업 세액감면,세액감면,공통(세무·등록·지원),감면율 (2026년 1월 1일 이후 창업),수도권 외 또는 수도권 인구감소지역 청년창업은 100% 감면입니다. 수도권(과밀억제권역·인구감소지역 제외) 청년창업은 75% 감면입니다. 수도권과밀억제권역 청년창업 또는 수도권 외·인구감소지역 일반창업은 50% 감면입니다. 수도권(과밀억제권역·인구감소지역 제외) 일반창업은 25% 감면입니다. 창업보육센터사업자는 50% 감면입니다.,국세청 창업중소기업 세액감면 + 법제처 찾기쉬운 생활법령정보
24,창업기업 세액감면,세액감면,공통(세무·등록·지원),"감면 대상 업종 (조특법 제6조 제3항, 18개)","광업, 제조업, 수도·하수·폐기물 처리·원료재생업, 건설업, 통신판매업, 물류산업, 음식점업, 정보통신업(일부 제외), 정보통신 활용 금융서비스업, 전문·과학·기술 서비스업(일부 제외), 사업시설관리·사업지원 서비스업, 사회복지 서비스업, 예술·스포츠·여가 서비스업(일부 제외), 개인·소비용품 수리업·이용·미용업, 직업기술 학원·훈련시설, 관광숙박·국제회의·테마파크·관광객이용시설업, 노인복지시설 운영업, 전시산업이 대상입니다.",국세청 창업중소기업 세액감면 + 법제처 찾기쉬운 생활법령정보
25,창업기업 세액감면,세액감면,공통(세무·등록·지원),추가 감면·한도,"고용 증가 시, 업종별 최소고용인원을 충족하고 상시근로자가 전년보다 늘면 고용증가율에 따라 25~50% 추가감면을 받습니다. 다만 100% 감면 기업과 수도권 외 청년창업중소기업은 제외됩니다. 감면 한도는 2025년 1월 1일 이후 창업분부터 감면세액 합계가 5억원을 초과하면 초과분은 감면하지 않습니다.",국세청 창업중소기업 세액감면 + 법제처 찾기쉬운 생활법령정보
26,창업기업 세액감면,세액감면,공통(세무·등록·지원),창업으로 보지 않는 경우,"사업을 승계하거나 자산을 인수·매입해 종전과 같은 업종을 하는 경우는 창업으로 보지 않습니다(인수 자산이 사업용자산 총액의 30% 이하면 창업으로 인정). 개인사업자가 법인으로 전환해 새 법인을 세우는 경우, 폐업 후 같은 종류의 사업을 다시 시작하는 경우, 단순 사업 확장·업종 추가 등도 감면에서 배제됩니다.",국세청 창업중소기업 세액감면 + 법제처 찾기쉬운 생활법령정보
27,창업기업 세액감면,세액감면,공통(세무·등록·지원),함께 받는 혜택,세액감면에 따라 농어촌특별세가 면제됩니다. 인지세는 창업일부터 2년 이내 융자 관련 증서·계약서 등에 대해 2026년 12월 31일까지 작성분이 면제됩니다. 부담금은 제조업 창업 시 사업개시일부터 7년간 농지보전부담금·전력산업기반부담금 등이 면제됩니다(물이용부담금은 3년).,국세청 창업중소기업 세액감면 + 법제처 찾기쉬운 생활법령정보
28,2026년 창업 지원사업,지원금,공통(세무·등록·지원),전체 규모,"2026년 통합공고(중소벤처기업부 제2025-648호, 2025년 12월 19일)에는 111개 기관, 508개 사업, 총 3조 4,645억원 규모의 창업지원사업이 담겨 있습니다. 개별 사업 공고는 수시로 뜨고 닫히므로 최신 일정·요건은 K-Startup(k-startup.go.kr)에서 확인해야 합니다.",중소벤처기업부 2026 창업지원사업 통합공고(제2025-648호)
29,2026년 창업 지원사업,지원금,공통(세무·등록·지원),예비·초기 창업자 핵심 사업,"예비창업패키지는 사업자등록을 하지 않은 예비창업자 대상으로 사업화 자금과 창업프로그램을 지원합니다(2026년 예산 491억원, 공고 2026년 1월 예정). 창업중심대학 지원사업은 예비창업자부터 업력 7년 이내 창업기업을 대상으로 사업화 자금과 성장프로그램을 지원합니다(883억원, 2026년 1월). 창업성공패키지(청년창업사관학교)는 만 39세 이하 청년창업자를 대상으로 사업화 자금·교육·창업공간·기술지원 등 전 과정을 패키지로 지원합니다(1,025억원, 2026년 1월). 초기창업패키지는 업력 3년 이내 초기창업기업을 지원합니다(559억원). 창업도약패키지는 창업 3년 초과 7년 이내 기업의 스케일업을 지원합니다(728억원). 그 밖에 재도전성공패키지(재창업), 초격차 스타트업 프로젝트(딥테크), 민관공동창업자 발굴육성 등이 있습니다.",중소벤처기업부 2026 창업지원사업 통합공고(제2025-648호)
30,2026년 창업 지원사업,지원금,공통(세무·등록·지원),챗봇 안내 원칙,"지원사업은 매년 예산·요건·일정이 바뀌고 모집 공고가 수시로 열리고 닫힙니다. 챗봇은 사업의 성격만 안내하고, 신청 가능 여부와 기한은 K-Startup에서 최신 공고를 확인하도록 안내하는 것이 안전합니다.",중소벤처기업부 2026 창업지원사업 통합공고(제2025-648호)
31,업종가이드 - 결혼중개업,업종가이드,결혼중개업,결혼중개업 - 결혼중개업의 의의 및 종류,"결혼중개업이란? 결혼중개업 ""결혼중개업""이란 수수료·회비나 그 밖의 금품을 받고 결혼중개를 업(業)으로 행하는 것을 말합니다(「결혼중개업의 관리에 관한 법률」 제2조제3호). ※ ""결혼중개""란 결혼을 위한 상담 및 알선 등의 행위를 말합니다(「결혼중개업의 관리에 관한 법률」 제2 조제1호). 결혼중개업자 ""결혼중개업자""란 국내결혼중개업의 신고를 하거나 국제결혼중개업의 등록을 한 사람을 말합니다(「결혼중개업의 관리에 관한 법률」 제2조제5호). 결혼중개업의 종류 국내결혼중개업 ""국내결혼중개업""이란 대한민국의 국적을 가진 사람을 대상으로 하는 결혼중개업을 말합니다(「결혼중개업의 관리에 관한 법률」 제2조제3호). 국제결혼중개업 ""국제결혼중개업""이란 대한민국의 국적을 가진 사람과 외국인을 대상으로 하는 결혼중개업을 말합니다(「결혼중개업의 관리에 관한 법률」 제2조제4호).",법제처 찾기쉬운 생활법령정보 - 결혼중개업 (2026.5 기준)
32,업종가이드 - 결혼중개업,업종가이드,결혼중개업,결혼중개업 - 결격사유 확인,결혼중개업 운영·종사자의 결격사유 결격사유 다음의 어느 하나에 해당하는 사람은 결혼중개업을 운영하거나 그 업무에 종사할 수 없습니다(「결혼중개업의 관리에 관한 법률」 제6조).,법제처 찾기쉬운 생활법령정보 - 결혼중개업 (2026.5 기준)
33,업종가이드 - 결혼중개업,업종가이드,결혼중개업,결혼중개업 - 미성년자·피성년후견인·피한정후견인,2. 금고 이상의 실형을 선고받고 그 집행이 종료(집행이 종료된 것으로 보는 경우를 포함)되거나 집행이 면제된 날부터 2년이 경과되지 않은 사람,법제처 찾기쉬운 생활법령정보 - 결혼중개업 (2026.5 기준)
34,업종가이드 - 결혼중개업,업종가이드,결혼중개업,결혼중개업 - 금고 이상의 형의 집행유예를 선고받고 그 유예기간 중에 있는 사람,"4. 위의 2. 및 3. 에도 불구하고 「결혼중개업의 관리에 관한 법률」,「형법」제228조 및 제287조부터 제 294조까지의 규정, 「특정범죄가중처벌 등에 관한 법률」 제5조의2,「성매매알선 등 행위의 처벌에 관한 법률」, 「풍속영업의 규제에 관한 법률」, 「아동·청소년의 성보호에 관한 법률」 또는 「 출입국관리법」제7조의2 및 제18조제4항을 위반하여 벌금 이상의 형의 선고(범칙금 통고처분을 포함)를 받고 그 집행이 종료되거나 집행을 받지 않기로 확정된 후 3년이 경과되지 않은 사람 5. 국제결혼 중개행위 관련 외국의 현지 형사법령 또는 행정법령을 위반하여 형 또는 행정처분이 확정(형사법령을 위반한 경우에는 형을 집행하지 않기로 확정된 경우를 포함)되어 그 집행이 종료된 후 3년이 경과되지 않은 사람 6. 「결혼중개업의 관리에 관한 법률」 제18조에 따라 등록이 취소되거나 영업소가 폐쇄된 후 3년이 경과되지 않은 사람(위 1.에 해당하여 등록이 취소되거나 영업소가 폐쇄된 경우는 제외)",법제처 찾기쉬운 생활법령정보 - 결혼중개업 (2026.5 기준)
35,업종가이드 - 결혼중개업,업종가이드,결혼중개업,결혼중개업 - 임원 중에 위의 1.~6.의 어느 하나에 해당하는 사람이 있는 법인,"위반 시 제재 국내결혼중개업 특별자치시장·시장·군수·구청장은 국내결혼중개업을 운영하거나 그 업무에 종사할 수 없는 결격사유에 해당하는 경우(위 6.의 본문에 해당하는 경우는 제외)에는 영업소의 폐쇄를 명하여야 합니다(「결혼중개업의 관리에 관한 법률」 제18조제1항제2호 본문 및 「결혼중개업의 관리에 관한 법률 시행규칙」 별표 2). 다만, 법인의 경우 1개월 이내에 결격사유가 있는 임원을 개임한 때는 행정처분을 받지 않습니다(「결혼중개업의 관리에 관한 법률」 제18조제1항제2호 단서). 국제결혼중개업 특별자치시장·시장·군수·구청장은 국제결혼중개업을 운영하거나 그 업무에 종사할 수 없는 결격사유에 해당하는 경우에는 등록을 취소해야 합니다(「결혼중개업의 관리에 관한 법률」 제18조제1항제2호 본문 및 「 결혼중개업의 관리에 관한 법률 시행규칙」 별표 2). 다만, 법인의 경우 1개월 이내에 결격사유가 있는 임원을 개임한 때는 행정처분을 받지 않습니다(「결혼중개업의 관리에 관한 법률」 제18조제1항제2호 단서).",법제처 찾기쉬운 생활법령정보 - 결혼중개업 (2026.5 기준)
36,업종가이드 - 결혼중개업,업종가이드,결혼중개업,결혼중개업 - 국내결혼중개업,"보증보험 가입 보증보험의 가입 국내결혼중개업자는 결혼중개업 이용자의 손해배상책임을 보장하기 위하여 2천만원 이상(다만, 분사무소를 두는 경우에는 분사무소마다 1천만원을 추가)의 금액을 보장하는 보증보험에 가입해야 합니다(「결혼중개업의 관리에 관한 법률」 제25조제3항, 「결혼중개업의 관리에 관한 법률 시행령」 제1조의2제1호 및 제6 조제1항제1호) 국내결혼중개업자가 보증보험에 가입하는 경우에는 특별자치시장·시장·군수·구청장을 피보험자로 해야 합니다(「결혼중개업의 관리에 관한 법률 시행령」 제6조제3항) 국내결혼중개업자는 보증보험의 보증기간이 끝날 때에는 그 기간의 만료일까지 2천만원 이상(다만, 분사무소를 두는 경우에는 분사무소마다 1천만원을 추가)의 금액을 보장하는 보증보험에 다시 가입하고 그 증명서류를 갖추어 특별자치시장·시장·군수·구청장에게 제출해야 합니다(「결혼중개업의 관리에 관한 법률 시행령」 제6조제1항제1호 및 제2항) 위반 시 제재 국내결혼중개업자가 보증보험에 가입하지 않은 경우에는 다음의 행정처분을 받습니다(「결혼중개업의 관리에 관한 법률」 제18조제1항제24호 및 「결혼중개업의 관리에 관한 법률 시행규칙」 별표 2) 1년 이내에 1회: 영업정지 3개월 1년 이내에 2회: 영업정지 6개월 1년 이내에 3회 이상: 영업소 폐쇄 중개사무소 확보 중개사무소의 확보 건축물대장에 제1종 근린생활시설(「건축법 시행령」 별표 1 제3호), 제2종 근린생활시설(「건축법 시행령」 별표 1 제4호), 판매시설 내 근린생활시설(「건축법 시행령」 별표 1 제7호) 또는 일반업무시설(「건축법 시행령」 별표 1 제14호나목)로 기재된 건물에 중개사무소를 확보해야 합니다(「결혼중개업의 관리에 관한 법률 시행령」 제1조의2제2호 전단) 중개사무소는 소유·전세·임대차 또는 사용대차 등의 방법으로 사용권을 확보합니다(「결혼중개업의 관리에 관한 법률 시행령」 제1조의2제2호 후단) ※ 중개사무소 확보에 관한 자세한 사항은 이 사이트 『상가건물 임대차』 또는 『부동산 매매』에서 확인할 수 있습니다. 손해배상책임 손해배상책임 국내결혼중개업자는 결혼중개를 함에 있어서 고의 또는 과실로 인하여 결혼중개업 이용자(이하 “이용자”라 함)에게 손해를 발생하게 한 때에는 그 손해를 배상할 책임이 있습니다(「결혼중개업의 관리에 관한 법률」 제 25조제1항) 보증보험금 지급 이용자는 국내결혼중개업자가 손해배상을 하지 않는 경우에는 국내결혼중개업자가 가입한 보증보험에 대해 보증보험금의 지급을 청구할 수 있습니다(「결혼중개업의 관리에 관한 법률 시행령」 제7조제1항) 이용자는 보증보험금의 지급을 청구하려면 이용자와 결혼중개업자 간의 손해배상합의서(공정증서), 화해조서 또는 확정된 법원의 판결문 정본, 그 밖에 이에 준하는 효력이 있는 서류를 특별자치시장·시장·군수·구청장에게 제출해야 합니다(「결혼중개업의 관리에 관한 법률 시행령」 제7조제2항) 국내결혼중개업자는 보증보험금으로 해당 결혼중개와 관련된 손해를 배상한 경우에는 2천만원 이상을 보장할 수 있도록 15일 이내에 보증보험에 다시 가입하고, 그 증명서류를특별자치시장·시장·군수·구청장에게 제출해야 합니다(「결혼중개업의 관리에 관한 법률 시행령」 제6조제1항제1호 및 제7조제3항) ※ 국내결혼중개업 보증보험 가입에 관한 자세한 사항은 이 콘텐츠의 < 창업준비-보증보험가입 및 중개소 확보 등- 국내결혼중개업 > 에서 확인할 수 있습니다 분쟁발생 시 해결기준 사업자의 귀책사유로 인한 계약해지 및 해지 국내결혼중개업자의 귀책사유에 따른 분쟁에 대한 해결기준은 다음과 같습니다(「소비자분쟁해결기준」별표",법제처 찾기쉬운 생활법령정보 - 결혼중개업 (2026.5 기준)
37,업종가이드 - 결혼중개업,업종가이드,결혼중개업,결혼중개업 - 국제결혼중개업,"국제결혼중개업자에 대한 교육 전문지식 등 교육이수 의무 성평등가족부장관 또는 특별자치시장·시장·군수·구청장은 결혼중개업자 및 종사자의 전문지식, 윤리의식 및 자질을 향상시키기 위하여 교육을 실시할 수 있으며, 국제결혼중개업의 등록을 하려는 사람은 미리 교육을 받아야 합니다(「결혼중개업의 관리에 관한 법률」 제24조제1항, 제2항 및 「결혼중개업의 관리에 관한 법률 시행령」 제2조제1호) 2곳 이상의 장소에서 국제결혼중개업을 하려는 사람 또는 천재지변, 본인의 질병·사고 등의 사유로 교육을 받을 수 없는 사람에 대하여는 그 종사자 중 책임자를 지정하여 교육을 받게 해야 합니다(「결혼중개업의 관리에 관한 법률」 제24조제3항 및 「결혼중개업의 관리에 관한 법률 시행규칙」 제16조제4항) 교육기관 성평등가족부장관은 국제결혼중개업자 및 종사자에게 실시하는 교육을 한국건강가정진흥원에 위탁하여 실시합니다[「결혼중개업의 관리에 관한 법률」 제24조제1항 및 「국제결혼중개업자에 대한 교육 위탁기관 등 세부사항」 제2조제1항]. 교육내용 및 교육방법 등 국제결혼중개업자 및 종사자에게 실시하는 교육내용 및 교육방법은 다음과 같습니다(「결혼중개업의 관리에 관한 법률 시행규칙」 제16조제2항 및 별표 3) 교육과목 교육내용 시간 방법 -결혼중개업의 사회적 책임 및 직업윤리 직업윤리 및 인권 보호 2 집합교육 -인권침해 사례 및 인권보호, 구제 결혼중개업 관련 -소비자보호 관계 법령 해설 손해배상책임 손해배상책임 국제결혼중개업자는 결혼중개를 함에 있어서 「결혼중개업의 관리에 관한 법률」을 위반하여 결혼중개업 이용자(이하 “이용자”라 함)에게 손해를 발생하게 한 때에는 그 손해를 배상할 책임이 있습니다(「결혼중개업의 관리에 관한 법률」 제25조제2항 본문) ※ 다만, 국제결혼중개업자가 고의 또는 과실이 없음을 입증한 경우에는 그 손해를 배상할 책임을 지지 않습니다(「결혼중개업의 관리에 관한 법률」 제25조제2항 단서) 보증보험금 지급 이용자는 국제결혼중개업자가 손해배상을 하지 않는 경우에는 국제결혼중개업자가 가입한 보증보험에 대해 보증보험금의 지급을 청구할 수 있습니다(「결혼중개업의 관리에 관한 법률 시행령」 제7조제1항) 이용자는 보증보험금의 지급을 청구하려면 이용자와 결혼중개업자 간의 손해배상합의서(공정증서), 화해조서 또는 확정된 법원의 판결문 정본, 그 밖에 이에 준하는 효력이 있는 서류를 특별자치시장·시장·군수·구청장에게 제출해야 합니다(「결혼중개업의 관리에 관한 법률 시행령」 제7조제2항) 국내결혼중개업자는 보증보험금으로 해당 결혼중개와 관련된 손해를 배상한 경우에는 2천만원 이상을 보장할 수 있도록 15일 이내에 보증보험에 다시 가입하고, 그 증명서류를특별자치시장·시장·군수·구청장에게 제출해야 합니다(「결혼중개업의 관리에 관한 법률 시행령」 제6조제1항제1호 및 제7조제3항) ※ 국제결혼중개업 보증보험 가입에 관한 자세한 사항은 이 콘텐츠의 < 창업준비-보증보험가입 및 중개소 확보 등- 국제결혼중개업 > 에서 확인할 수 있습니다 분쟁발생 시 해결기준 사업자의 귀책사유로 인한 계약해지 국제결혼중개업자의 귀책사유로 인하여 결혼중개 계약을 중도에 해지하게 되는 경우에는 ① 손해배상을 하거나, ② 이용자의 요청이 있는 경우 추가 비용의 부담 없이 국제결혼중개를 다시 이행해야 합니다[「소비자분쟁해결기준」(공정거래위원회 고시 제2023-28호, 2023. 12. 20. 발령·시행) 별표 2 제4호 ]. 이용자의 의사로 인한 계약해지 국제결혼중개업자와 계약한 이용자의 의사에 따른 계약해지에 대한 환불기준은 다음과 같습니다(「소비자분쟁해결기준」 별표 2 제4호) 분쟁유형 해결기준 계약체결 후 국제결혼 행사 일정이 확정되기 전에 해지할 총비용 중 중개수수료의 10%에 해당하는 경우 금액 이용자 부담 국제결혼 행사일정 확정 이후 국제결혼 상대국가로 총비용의 20%에 해당하는 금액 이용자 부담 출국하기 전에 해지할 경우 국제결혼 상대국가로 출국한 이후 맞선 보기 전에 해지할 총비용의 40%에 해당하는 금액 이용자 부담 경우 상대 국가에서 맞선 이후 해지할 경우 총비용의 50%에 해당하는 금액 이용자 부담 상대 국가에서 결혼이 성사된 이후 해지할 경우 총비용의 90%에 해당하는 금액 이용자 부담 결혼을 성사하고 국내에 입국한 이후 해지할 경우 총비용 전액 이용자 부담 ※ 비용을 사업자가 이미 수수한 경우에 사업자는 이미 수수한 비용에서 이용자 부담액을 공제한 나머지 금액을 이용자에게 환급합니다(「소비자분쟁해결기준」 별표 2 제4호).",법제처 찾기쉬운 생활법령정보 - 결혼중개업 (2026.5 기준)
